year_quarter,year,quarter,region_en,region_ar,classification_ar,classification_en,transaction_count,median_price,median_area,median_price_per_m2,avg_price,avg_area,total_value
202002.0,2020.0,2.0,Jazan,منطقة جازان,زراعي,Agricultural,28,300000.0,17423.6,18.0,712252.0,29858.4,19943065.0
202002.0,2020.0,2.0,Madinah,منطقة المدينة المنورة,زراعي,Agricultural,10,330000.0,29098.9,18.0,13588094.0,28024.2,135880944.0
202002.0,2020.0,2.0,Tabuk,منطقة تبوك,زراعي,Agricultural,3,735000.0,52000.9,15.0,2911667.0,53400.3,8735000.0
202002.0,2020.0,2.0,Al Baha,منطقة الباحة,زراعي,Agricultural,10,122500.0,1216.5,82.0,144000.0,5604.1,1440000.0
202002.0,2020.0,2.0,Hail,منطقة حائل,زراعي,Agricultural,129,107000.0,12510.0,5.0,267122.0,111797.0,34458699.0
202002.0,2020.0,2.0,Al Jouf,منطقة الجوف,زراعي,Agricultural,18,375000.0,65205.0,6.0,741782.0,180034.4,13352082.0
202002.0,2020.0,2.0,Makkah,منطقة مكة المكرمة,سكني,Residential,6901,493000.0,550.0,1136.0,870853.0,579.5,6009756859.0
202002.0,2020.0,2.0,Al Baha,منطقة الباحة,سكني,Residential,286,149138.0,620.6,240.0,220133.0,682.3,62958000.0
202002.0,2020.0,2.0,Tabuk,منطقة تبوك,سكني,Residential,410,375123.0,630.0,538.0,546889.0,736.3,224224539.0
202002.0,2020.0,2.0,Jazan,منطقة جازان,سكني,Residential,1291,210000.0,610.4,339.0,313817.0,713.6,405137616.0
202002.0,2020.0,2.0,Madinah,منطقة المدينة المنورة,سكني,Residential,1474,480000.0,493.7,1050.0,653693.0,539.9,963543649.0
202002.0,2020.0,2.0,Qassim,منطقة القصيم,سكني,Residential,6164,150000.0,480.0,323.0,261671.0,876.6,1612939206.0
202002.0,2020.0,2.0,Northern Borders,منطقة الحدود الشمالية,سكني,Residential,1187,100000.0,683.8,139.0,208562.0,695.3,247563180.0
202002.0,2020.0,2.0,Eastern Province,منطقة الشرقية,سكني,Residential,5944,500000.0,516.0,970.0,724013.0,675.7,4303533326.0
202002.0,2020.0,2.0,Asir,منطقة عسير,سكني,Residential,3044,332775.0,600.0,555.0,425586.0,816.9,1295483048.0
202002.0,2020.0,2.0,Riyadh,منطقة الرياض,سكني,Residential,12293,500000.0,519.8,1067.0,7228068.0,778.4,88854637355.0
202002.0,2020.0,2.0,Al Jouf,منطقة الجوف,سكني,Residential,1153,150000.0,627.4,229.0,291647.0,669.1,336269099.0
202002.0,2020.0,2.0,Najran,منطقة نجران,سكني,Residential,653,100000.0,760.0,134.0,186246.0,744.7,121618826.0
202002.0,2020.0,2.0,Hail,منطقة حائل,سكني,Residential,1733,151200.0,540.0,293.0,314511.0,623.8,545048212.0
202003.0,2020.0,3.0,Najran,منطقة نجران,تجاري,Commercial,323,80000.0,800.0,93.0,96101.0,1076.6,31040551.0
202003.0,2020.0,3.0,Qassim,منطقة القصيم,تجاري,Commercial,545,110000.0,630.0,159.0,281188.0,3792.4,153247307.0
202003.0,2020.0,3.0,Northern Borders,منطقة الحدود الشمالية,تجاري,Commercial,249,100000.0,650.0,147.0,145631.0,680.2,36262185.0
202003.0,2020.0,3.0,Asir,منطقة عسير,تجاري,Commercial,488,95000.0,600.0,134.0,299447.0,972.2,146130183.0
202003.0,2020.0,3.0,Hail,منطقة حائل,تجاري,Commercial,301,100000.0,750.0,128.0,178512.0,4903.9,53732079.0
202003.0,2020.0,3.0,Eastern Province,منطقة الشرقية,تجاري,Commercial,1274,290000.0,690.0,380.0,762352.0,7535.4,971236047.0
202003.0,2020.0,3.0,Tabuk,منطقة تبوك,تجاري,Commercial,421,320000.0,640.0,469.0,363915.0,837.9,153208048.0
202003.0,2020.0,3.0,Madinah,منطقة المدينة المنورة,تجاري,Commercial,288,300000.0,625.0,505.0,472640.0,672.2,136120276.0
202003.0,2020.0,3.0,Al Jouf,منطقة الجوف,تجاري,Commercial,214,100000.0,630.0,167.0,145375.0,11041.8,31110261.0
202003.0,2020.0,3.0,Riyadh,منطقة الرياض,تجاري,Commercial,1499,370000.0,725.0,688.0,2098354.0,1786.5,3145432873.0
202003.0,2020.0,3.0,Al Baha,منطقة الباحة,تجاري,Commercial,11,90000.0,621.0,138.0,116364.0,660.7,1280000.0
202003.0,2020.0,3.0,Jazan,منطقة جازان,تجاري,Commercial,131,215000.0,664.0,295.0,333947.0,1340.2,43747059.0
202003.0,2020.0,3.0,Makkah,منطقة مكة المكرمة,تجاري,Commercial,1013,365000.0,713.7,515.0,1511239.0,1164.5,1530885338.0
202003.0,2020.0,3.0,Jazan,منطقة جازان,زراعي,Agricultural,34,200000.0,10000.0,29.0,379824.0,17618.1,12914000.0
202003.0,2020.0,3.0,Makkah,منطقة مكة المكرمة,زراعي,Agricultural,64,350000.0,10474.0,62.0,913426.0,24502.4,58459255.0
202003.0,2020.0,3.0,Al Jouf,منطقة الجوف,زراعي,Agricultural,83,150000.0,60000.0,3.0,351125.0,171462.3,29143366.0
202003.0,2020.0,3.0,Madinah,منطقة المدينة المنورة,زراعي,Agricultural,44,82500.0,30000.0,2.0,152034.0,49583.8,6689500.0
202003.0,2020.0,3.0,Tabuk,منطقة تبوك,زراعي,Agricultural,33,100000.0,54000.0,2.0,343682.0,246409.5,11341500.0
202003.0,2020.0,3.0,Eastern Province,منطقة الشرقية,زراعي,Agricultural,171,300000.0,10000.0,45.0,697167.0,49051.5,119215530.0
202003.0,2020.0,3.0,Riyadh,منطقة الرياض,زراعي,Agricultural,1123,125000.0,6684.2,20.0,429589.0,68373.4,482428817.0
202003.0,2020.0,3.0,Al Baha,منطقة الباحة,زراعي,Agricultural,32,200000.0,1305.5,156.0,237656.0,4070.6,7605000.0
202003.0,2020.0,3.0,Qassim,منطقة القصيم,زراعي,Agricultural,194,100000.0,50000.0,4.0,463843.0,130285.4,89985634.0
