city,region_en,region_ar,base_year,latest_year,year_span,base_transactions,latest_transactions,base_value,latest_value,latest_median_price,latest_median_price_per_m2,transaction_cagr,value_cagr,growth_rank
رياض الخبراء,Qassim,منطقة القصيم,2020.0,2025.0,5.0,1111,591,152248171.0,83141711.0,60000.0,100.0,-0.1186,-0.114,64
دومة الجندل,Al Jouf,منطقة الجوف,2020.0,2025.0,5.0,659,349,73084414.0,40099279.0,40000.0,47.09871891484551,-0.1194,-0.1131,65
ثادق,Riyadh,منطقة الرياض,2020.0,2025.0,5.0,501,263,50700190.0,99070257.0,240000.0,444.44444444444446,-0.1209,0.1434,66
ابها,Asir,منطقة عسير,2020.0,2025.0,5.0,3617,1869,1888067689.0,1670811774.0,514488.0,1264.8221343873518,-0.1237,-0.0242,67
الليث,Makkah,منطقة مكة المكرمة,2020.0,2025.0,5.0,295,151,34864575.0,36588486.0,100000.0,166.66666666666666,-0.1254,0.0097,68
تربه,Makkah,منطقة مكة المكرمة,2020.0,2025.0,5.0,969,482,103051913.0,57025054.0,50000.0,111.83777712740545,-0.1303,-0.1116,69
حائل,Hail,منطقة حائل,2020.0,2025.0,5.0,9148,4526,2489702699.0,1858671777.0,233375.0,400.0,-0.1313,-0.0568,70
طريف,Northern Borders,منطقة الحدود الشمالية,2020.0,2025.0,5.0,332,162,97415378.0,40194085.0,150000.0,250.0,-0.1337,-0.1623,71
الدلم,Riyadh,منطقة الرياض,2020.0,2025.0,5.0,766,373,138316887.0,417246700.0,212750.0,300.0,-0.134,0.2471,72
البشائر,Asir,منطقة عسير,2020.0,2025.0,5.0,91,44,13811545.0,7536326.0,100000.0,129.40959749470386,-0.1353,-0.1141,73
الرياض,Riyadh,منطقة الرياض,2020.0,2025.0,5.0,57464,27689,242428478056.0,60781422642.0,765000.0,2400.0,-0.1359,-0.2417,74
حبونا,Najran,منطقة نجران,2020.0,2025.0,5.0,362,174,28246621.0,11923223.0,20000.0,27.894491129785248,-0.1363,-0.1584,75
حفر الباطن,Eastern Province,منطقة الشرقية,2020.0,2025.0,5.0,7918,3658,1531743052.0,745768701.0,100000.0,200.0,-0.1431,-0.1341,76
الجفر,Eastern Province,منطقة الشرقية,2020.0,2025.0,5.0,2401,1107,453887005.0,328292642.0,250000.0,549.4505494505495,-0.1435,-0.0627,77
المخواة,Al Baha,منطقة الباحة,2020.0,2025.0,5.0,447,206,50987558.0,25779402.0,80000.0,149.37820663834083,-0.1435,-0.1275,78
العيون,Eastern Province,منطقة الشرقية,2020.0,2025.0,5.0,398,182,308785788.0,74218900.0,350000.0,673.6927448983263,-0.1449,-0.2481,79
احد المسارحه,Jazan,منطقة جازان,2020.0,2025.0,5.0,136,62,40041681.0,18876709.0,185500.0,272.7074484693195,-0.1454,-0.1396,80
الحناكية,Madinah,منطقة المدينة المنورة,2020.0,2025.0,5.0,811,368,79236007.0,41725056.0,70000.0,127.28689930010484,-0.1462,-0.1204,81
العرضيه الشماليه,Makkah,منطقة مكة المكرمة,2020.0,2025.0,5.0,62,28,10807142.0,9606279.0,308139.5,490.0,-0.147,-0.0233,82
خميس مشيط,Asir,منطقة عسير,2020.0,2025.0,5.0,4585,2065,2096925618.0,1351130602.0,583200.0,1155.8347292015633,-0.1475,-0.0842,83
حوطة بني تميم,Riyadh,منطقة الرياض,2020.0,2025.0,5.0,539,237,124656251.0,73621262.0,138300.0,256.0,-0.1515,-0.1,84
الافلاج,Riyadh,منطقة الرياض,2020.0,2025.0,5.0,1223,530,118599029.0,57673628.0,60000.0,80.73122529644269,-0.154,-0.1343,85
