year,quarter,region_en,region_ar,transaction_count,total_value,median_price,median_price_per_m2,avg_deal_value
2023.0,3.0,Eastern Province,منطقة الشرقية,6365,9926643753.280003,500000.0,1123.160340821069,1559566.9683079345
2023.0,4.0,Eastern Province,منطقة الشرقية,7181,7079551317.0,460000.0,1093.6875749101077,985872.6245648238
2024.0,1.0,Eastern Province,منطقة الشرقية,9131,8550734581.0,500000.0,1000.0,936451.054758515
2024.0,2.0,Eastern Province,منطقة الشرقية,14918,17550349605.0,500000.0,1000.0,1176454.5921034992
2024.0,3.0,Eastern Province,منطقة الشرقية,8844,9630117019.0,510000.0,1262.2655122655124,1088887.0442107643
2024.0,4.0,Eastern Province,منطقة الشرقية,10485,9916546258.0,519000.0,1200.0,945784.0970910825
2025.0,1.0,Eastern Province,منطقة الشرقية,9338,9724093676.0,480000.0,1100.0,1041346.5063182694
2025.0,3.0,Eastern Province,منطقة الشرقية,7332,7108086073.0,456041.0,1100.0,969460.7300872887
2025.0,4.0,Eastern Province,منطقة الشرقية,7157,6863168930.0,472500.0,1050.0,958944.9392203437
2020.0,1.0,Hail,منطقة حائل,3246,1100290494.0,194040.0,314.5623652811487,338968.11275415897
2020.0,2.0,Hail,منطقة حائل,2111,662100421.0,160000.0,268.6486970538193,313643.02273803885
2020.0,3.0,Hail,منطقة حائل,2570,413556677.0,90000.0,125.0,160916.99494163424
2020.0,4.0,Hail,منطقة حائل,3227,488022260.0,80000.0,116.96818465377416,151230.9451502944
2021.0,1.0,Hail,منطقة حائل,3439,617997173.0,76000.0,100.0,179702.58011049725
2021.0,2.0,Hail,منطقة حائل,3043,539406784.0,50000.0,77.17041800643086,177261.51298061124
2021.0,3.0,Hail,منطقة حائل,3048,620968541.0,90000.0,100.21794588514152,203729.83628608924
2021.0,4.0,Hail,منطقة حائل,3060,592778488.0,90000.0,90.34754468115604,193718.46013071894
2022.0,1.0,Hail,منطقة حائل,2188,476037167.0,100000.0,166.66666666666666,217567.2609689214
2022.0,2.0,Hail,منطقة حائل,2020,420566546.0,100000.0,142.04545454545453,208201.2603960396
2022.0,3.0,Hail,منطقة حائل,2053,553856184.0,100000.0,146.5201465201465,269778.9498295178
2022.0,4.0,Hail,منطقة حائل,1933,371301038.0,50000.0,82.75862068965517,192085.3792033109
2023.0,1.0,Hail,منطقة حائل,1906,343659364.0,50000.0,79.4003841156866,180303.9685204617
2023.0,2.0,Hail,منطقة حائل,1941,274982939.82,55000.0,75.0,141670.7572488408
2023.0,3.0,Hail,منطقة حائل,1927,365997034.99999994,80000.0,96.69309611293754,189930.99896211724
2023.0,4.0,Hail,منطقة حائل,1896,434514210.0,100000.0,154.850256736991,229174.16139240508
2024.0,1.0,Hail,منطقة حائل,2346,496865534.0,61000.0,88.88888888888889,211792.6402387042
2024.0,2.0,Hail,منطقة حائل,3818,1283140624.0,100000.0,164.20361247947454,336076.64326872706
2024.0,3.0,Hail,منطقة حائل,2223,535322962.0,100000.0,167.9261125104954,240811.04903283852
2024.0,4.0,Hail,منطقة حائل,2719,600382514.0,100000.0,116.66666666666667,220810.04560500183
2025.0,1.0,Hail,منطقة حائل,2819,759107263.0,100000.0,113.33333333333333,269282.46293011704
